product_category,product_type,material_cost,production_time_days,region,origin_state,demand_index,market_trend,season,actual_selling_price,material_type
Paintings & Art,Folk Painting,402.04,8,Bastar,Chhattisgarh,0.652,0.1291,Summer,3309.65,Acrylic
Handmade Home Décor,Mirror,173.19,5,Srinagar,Jammu and Kashmir,0.742,0.16,Winter,3036.06,Bamboo
Woodcraft,Box,609.53,9,Raghurajpur,Odisha,0.489,0.0397,Festival,3197.98,Wood
Handloom & Textiles,Traditional Garment,751.82,4,Channapatna,Karnataka,0.541,0.1284,Normal,2629.84,Silk
Leather & Traditional Craft,Traditional Leather Craft,526.19,6,Kondapalli,Andhra Pradesh,0.696,0.1845,Wedding,3305.71,Leather
Paintings & Art,Folk Painting,377.58,8,Assam,Assam,0.769,0.0328,Winter,2104.49,Acrylic
Leather & Traditional Craft,Wallet,712.14,7,Narsapur,Andhra Pradesh,0.696,-0.0096,Normal,2327.25,Leather
"Bamboo, Cane & Natural Fibre",Bag,249.26,4,Saharanpur,Uttar Pradesh,0.694,0.0428,Normal,1252.18,Cane
Pottery & Terracotta,Planter,61.47,2,Madhubani,Bihar,0.665,0.0315,Normal,1768.03,Clay
Metal Crafts,Utensil,1075.85,7,Saharanpur,Uttar Pradesh,0.536,0.052,Festival,5720.26,Brass
"Bamboo, Cane & Natural Fibre",Decorative Item,278.2,6,Kondapalli,Andhra Pradesh,0.826,-0.0334,Festival,2376.97,Cane
Handloom & Textiles,Scarf,381.45,5,Channapatna,Karnataka,0.832,0.0741,Normal,2724.72,Cotton
Natural / Eco-friendly Crafts,Coir Product,135.91,4,Pochampally,Telangana,0.851,0.0452,Monsoon,2303.29,Coir
Handmade Bags & Accessories,Accessories,167.73,2,Srinagar,Jammu and Kashmir,0.719,0.1338,Normal,2076.0,Beads
Natural / Eco-friendly Crafts,Handmade Paper Product,75.6,2,Channapatna,Karnataka,0.281,0.0393,Festival,1042.32,Handmade Paper
Pottery & Terracotta,Planter,162.48,3,Bastar,Chhattisgarh,0.836,0.2051,Normal,1718.02,Clay
Woodcraft,Decorative Panel,379.77,12,Srikalahasti,Andhra Pradesh,0.7,0.0804,Normal,2519.83,Wood
